Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
MGShoppe,Drugs/Cannabis/Concentrates,3.5 grams of SHATTER MADE OF SOUR DIESEL,3.5 GRAMS OF SHATTER MADE FROM INDOOR SOUR DIESEL 3/18/2015   HELLO! WE ARE NOW HERE.AFTER THE CLOSING OF EVO AND SELLING F.E. ONLY!  for you new to our shoppe this is how we roll  always free  ...,0.473458557,USA,,4.93/5,
MIKEandIKE,Drugs/Cannabis/Concentrates,***----Blue Dream x OG CRUMBLE (28g)----***,This listing is for 28 grams of Blue Dream cross with OG BHO crumble. Really nice product at a great price. Easy to handle with a fairly smooth throat hit. Great for pens  dabs  joints  etc. Buttery  ...,2.258625347,USA,USA,4.96/5,
MrCronk,Drugs/Cannabis/Concentrates,MrCronk's Farmery 1.1g HASH OIL HIGH CBD w FFD,Sweet shiny hash oil with high CBD content made from a decent outdoor strain. We will have a variety of thick oils (sometimes called wax/budder) in future. This is better than Rick Simpson and just p ...,108.1514775,Undeclared;),Worldwide,4.944/5,Average price may be skewed outliar > .5 BTC found
mrfields,Drugs/Cannabis/Concentrates,1g Authentic Rick Simpson Cannabis Oil (From AAA Indica Buds),***** NOW OFFERING EXPRESS OVERNIGHT SHIPPING! *****  FE - In light of the recent DNM seizures of Silk Road 2 and other markets  as well as the most recent issues with Agora  I am now mandating FE  ...,125.3698382,USA,USA,4.99/5,Average price may be skewed outliar > .5 BTC found
Nostress,Drugs/Cannabis/Concentrates,1 Gram of CO2 Extracted Cannabis Wax,This is a listing for 1 gram of CO2 Extracted Cannibis Wax.  In Stock is our Super Gold Crumble. Taste and feel the difference.   XXXOG SOUR OG Skywalker WHITE WIDOW And many others.....,37.57905011,USA,USA,4.929/5,Average price may be skewed outliar > .5 BTC found
notthepoppa,Drugs/Cannabis/Concentrates,7g Topshelf Artisan Shatter (GDP),Artisan Shatter Non-BHO Shatter!! Great tasting  super high potency  GDP & Strawberry Banana Kush  Lab %'s coming soon...  No butane  organic solvent used to extract medicine. Processed by a M ...,1.165724284,USA,,~5/5,
nwconcentrates,Drugs/Cannabis/Concentrates,Qrazy Train Snap Wax (14 Grams),This listing is for our Qrazy Train snap wax.  It smells and tastes great.  Consistency wise we can't call it shatter because it isn't  but its not like wax either  its: snap wax.  Info courtesy of ...,1.373358933,,,5.00/5,
ogbryan,Drugs/Cannabis/Concentrates,"One Ounce of  ""Crumble ""Fucking Awesome",Actual Pic!  Only one available.    I'm slowly getting into the concentrate game  let me know what you think and what you're looking for!  More to come....,3.237362459,USA,,4.973/5,
OneKing,Drugs/Cannabis/Concentrates,~OneKing~ 112G BHO Shatter (SATIVA),High Quality BHO Shatter (SATIVA)   All shatter comes from Strawberry cough syrup (SATIVA) BUDS! Check our other listing if you are looking for the indica shatter! We only use full size buds to pr ...,8.302729839,Canada,,4.42/5,Average price may be skewed outliar > .5 BTC found
PillsAndDrugs,Drugs/Cannabis/Concentrates,Cheeba Chew! 70mg THC! Medical Grade!,Chocolate cheeba chews. Great all day edible  indica based .,0.03407271,USA,USA,4.96/5,
