first,last,season,country,brand,twist,partner,americas_player,season_num,year,age,age_group,zodiac,gender,race_ethnicity,biracial,biracial_one,biracial_two,occupation,occupation_category,lgbt,disability,hometown,state,appearance,last_placement,entrance_num,first_veto,otev,first_hoh,second_hoh,fifth_hoh,expelled,walked,jury,placement,hobbies,motto,hero,fav_tv_show,fav_movie,fav_actor,fav_actress,fav_music,fav_musician,fav_magazine,fav_sport,fav_color,three_adjectives,motivation,strength,weakness,comfort_item,outside_news,physical_or_mental,strategy,bb_fear,fav_sports_team,fav_food,fav_candy,fav_drink,fav_bb_hg,least_fav_bb_hg,dreaded_hg,handle_unexpected,fear,proudest_accomp
Janelle,Pierzina,bbus7,united_states,all_stars,all_stars,,,7,2006,26,twenties,capricorn,female,white,no,,,vip_cocktail_waitress,food,no,no,grand_rapids,mn,2,3,1,yes,yes,yes,no,no,no,no,yes,3,reading,,,nip_tuck,casablanca,edward_norton,charlize_theron,house,no_doubt,,dodgeball,,,,,,,,,,,lions,chips,twix,red_bull,,,,,,
Will,Kirby,bbus7,united_states,all_stars,all_stars,,,7,2006,33,thirties,capricorn,male,white,no,,,physician,health,no,no,miami,fl,2,1,14,no,no,no,no,no,no,no,yes,4,gardening,,,dr_91210,taxi_driver,neil_patrick_harris,phoebe_cats,rap,cake,,basketball,,,,,,,,,,,clippers,zone_chefs,none,fuze_slenderize,,,,,,
George,Boswell,bbus7,united_states,all_stars,all_stars,,,7,2006,47,fourties,libra,male,white,no,,,hotel_promotions,sales,no,no,rockford,il,2,5,12,no,no,no,no,no,no,no,yes,5,going_out,,,the_beverly_hillbillies,the_blues_brothers,fred_flintstone,wilma_flintstone,rock_and_roll,john_cougar_mellencamp,,badminton,,,,,,,,,,,cubs,wings,snickers,coke,,,,,,
Danielle,Reyes,bbus7,united_states,all_stars,all_stars,,,7,2006,34,thirties,aquarius,female,black,no,,,property_manager,management,no,no,vacaville,ca,2,2,9,no,no,no,no,yes,no,no,yes,6,cooking,,,deadwood,pulp_fiction,robert_de_niro,cate_blanchett,rock,queen,,basketball,,,,,,,,,,,steelers,chips,snickers,coke,,,,,,
James,Rhine,bbus7,united_states,all_stars,all_stars,,,7,2006,30,thirties,sagittarius,male,white,no,,,loss_prevention_manager,management,no,no,miami,fl,2,7,6,no,no,no,no,no,no,no,yes,7,exercising,,,mind_of_mencia,hotel_rwanda,sean_connery,sofia_vergara,none,pearl_jam,,basketball,,,,,,,,,,,hurricanes,nuts,snickers,coke,,,,,,
Howie,Gordon,bbus7,united_states,all_stars,all_stars,,,7,2006,35,thirties,capricorn,male,white,no,,,light_saber_salesman,sales,no,no,chicago,il,2,5,5,no,no,no,no,no,no,no,yes,8,exercising,,,smallville,return_of_the_dragon,arnold_schwarzenegger,jessica_alba,oldies,u2,,football,,,,,,,,,,,hurricanes,chocolate,reeses_pieces,coke,,,,,,
Marcellas,Reynolds,bbus7,united_states,all_stars,all_stars,,,7,2006,36,thirties,scorpio,male,black,no,,,celebrity_stylist,fashion,gay,no,chicago,il,2,3,11,no,no,no,no,no,no,no,yes,9,going_out,,,antm,breakfast_at_tiffanys,bow_wow,audrey_hepburn,,alicia_keys,,badminton,,,,,,,,,,,none,nuts,clif_bars,water,,,,,,
Kaysar,Ridha,bbus7,united_states,all_stars,all_stars,,,7,2006,25,twenties,leo,male,middle_eastern,no,,,graphic_designer,arts,no,no,irvine,ca,2,10,7,no,no,no,yes,no,no,no,no,10,reading,,,entourage,kingdom_of_heaven,sean_penn,reese_witherspoon,rock,guns_n_roses,,basketball,,,,,,,,,,,heat,cookies,kit_kat,juice,,,,,,
Diane,Henry,bbus7,united_states,all_stars,all_stars,,,7,2006,24,twenties,pisces,female,white,no,,,model,entertainment,no,no,cincinnati,oh,2,3,4,no,no,no,no,no,no,no,no,11,shopping,,,meerkat_manor,elephant,leonardo_dicaprio,kate_winslet,70s,christina_aguilera,,none,,,,,,,,,,,bengals,pizza,caramello,coffee,,,,,,
Jase,Wirey,bbus7,united_states,all_stars,all_stars,,,7,2006,30,thirties,aquarius,male,white,no,,,safety_director,management,no,no,taylorville,il,2,10,8,no,no,no,no,no,no,no,no,12,outdoor_activities,,,none,none,none,none,none,none,,football,,,,,,,,,,,redskins,fruit,protein_bars,water,,,,,,
