first,last,season,country,brand,twist,partner,americas_player,season_num,year,age,age_group,zodiac,gender,race_ethnicity,biracial,biracial_one,biracial_two,occupation,occupation_category,lgbt,disability,hometown,state,appearance,last_placement,entrance_num,first_veto,otev,first_hoh,second_hoh,fifth_hoh,expelled,walked,jury,placement,hobbies,motto,hero,fav_tv_show,fav_movie,fav_actor,fav_actress,fav_music,fav_musician,fav_magazine,fav_sport,fav_color,three_adjectives,motivation,strength,weakness,comfort_item,outside_news,physical_or_mental,strategy,bb_fear,fav_sports_team,fav_food,fav_candy,fav_drink,fav_bb_hg,least_fav_bb_hg,dreaded_hg,handle_unexpected,fear,proudest_accomp
Enzo,Palumbo,bbus12,united_states,regular,saboteur,,no,12,2010,32,thirties,capricorn,male,white,no,,,insurance_adjuster,business,no,no,bayonne,nj,1,,9,no,yes,no,no,no,no,no,yes,3,sports,with great risk comes great reward,,,,,,,,,,,funny likeable obnoxious,,,,,,,winning,no_tv,,,,,justin_bb1,,dirty,can_handle_anything,rats,real_estate_license
Britney,Haynes,bbus12,united_states,regular,saboteur,,no,12,2010,22,twenties,leo,female,white,no,,,hotel_sales_manager,management,no,no,huntington,ar,1,,2,no,no,no,no,no,no,no,yes,4,traveling,never regret anything that made you smile,,,,,,,,,,,argumentative comedic opinionated,,,,,,,pretend_nice elusive,sharing_bathroom,,,,,janelle dr_will,,egomaniacs,can_handle_anything,birds,
Ragan,Fox,bbus12,united_states,regular,saboteur,,yes,12,2010,34,thirties,taurus,male,white,no,,,college_professor,education,gay,no,west_hollywood,ca,1,,3,no,no,no,no,no,no,no,yes,5,writing,treat others how you want to be treated,,,,,,,,,,,funny genuine intelligent,,,,,,,float secret_alliance_two_weeks_in dont_win_too_many_comps,not_holding_grudges,,,,,janelle,boogie chima,homophobes,adapt,heights,published_poetry
Brendon,Villegas,bbus12,united_states,regular,saboteur,,no,12,2010,30,thirties,cancer,male,latinx,yes,white,latinx,high_school_swim_coach,coach,no,no,riverside,ca,1,,4,yes,no,no,no,no,no,no,yes,6,sports,make a large impression on this planet after youre gone,,,,,,,,,,,fun driven intelligible,,,,,,,girls turn_against_each_ther,no_privacy,,,,,dr_will,,mean,,scorpions,scholarship
Matt,Hoffman,bbus12,united_states,regular,saboteur,,no,12,2010,32,thirties,leo,male,white,no,,,web_designer,stem,no,no,elgin,il,1,,13,no,no,no,no,yes,no,no,yes,7,music,i dont want the world i just want your half,,,,,,,,,,,intelligent creative sweet_talker,,,,,,,no_emotions,no_outside_news,,,,,dr_will dan,,introverts,adapt,failure,band
Kathy,Hillis,bbus12,united_states,regular,saboteur,,no,12,2010,40,fourties,taurus,female,white,no,,,deputy_sheriff,public_service,no,no,texarkana,ar,1,,7,no,no,no,no,no,no,no,yes,8,outdoor_activities,never give up never give in and never use the word defeat,,,,,,,,,,,tenacious passionate fun_loving,,,,,,,be_myself have_fun,missing_loved_ones,,,,,,chima,all_women,,snakes,surviving_cancer
Rachel,Reilly,bbus12,united_states,regular,saboteur,,no,12,2010,25,twenties,libra,female,white,no,,,cocktail_waitress,food,no,no,las_vegas,nv,1,,1,no,no,no,yes,no,no,no,yes,9,outdoor_activities,try everything out the world has to offer and always keep a smile on your face,,,,,,,,,,,bubbly effervescent adventurous,,,,,,,hustle,no_privacy,,,,,laura_bb11,,negative,welcome_it,spiders,
Kristen,Bitting,bbus12,united_states,regular,saboteur,,no,12,2010,24,twenties,capricorn,female,white,no,,,boutique_manager,management,no,no,philadelphia,pa,1,,11,no,no,no,no,no,no,no,no,10,exercising,grab life by the balls,,,,,,,,,,,strong_minded motivated kind_hearted,,,,,,,be_myself,being_misunderstood,,,,,braden_bb11,,average,already_living_unexpected,failure,independence
Andrew,Gordon,bbus12,united_states,regular,saboteur,,no,12,2010,39,thirties,taurus,male,white,no,,,podiatrist,health,no,no,miami_beach,fl,1,,5,no,no,no,no,no,no,no,no,11,video_games,live for today because tomorrow will be yesterday soon,,,,,,,,,,,stubborn spontaneous sneaky,,,,,,,kaysar dr_will george russell_survivor,no_tv,,,,,marvin_bb5,holly_bb5,politicans,bring_it,snakes,children
Monet,Stunson,bbus12,united_states,regular,saboteur,,no,12,2010,24,twenties,virgo,female,black,yes,black,white,model,fashion,no,no,glen_carbon,il,1,,10,no,no,no,no,no,no,no,no,12,shopping,live life with no regrets,,,,,,,,,,,exotic active coolest,,,,,,,none_yet need_to_meet_hgs,no_privacy,,,,,jordan_bb11,,ditsy_girls ego_guys,already_living_unexpected,nothing,on_tv
Annie,Whittington,bbus12,united_states,regular,saboteur,,no,12,2010,27,twenties,pisces,female,white,no,,,bartender,food,bisexual,no,tampa,fl,1,,6,no,no,no,no,no,no,no,no,13,outdoor_activities,when life gives you lemons say f the lemons and bail,,,,,,,,,,,outgoing over_dramatic loyal,,,,,,,be_myself,stuck_inside,,,,,evel_dick,jerry_bb10,racists,already_living_unexpected,getting_old,independence
